102,Al-Makr terhadap Rasulullah S.A.W. : analisis menurut perspektif pemikiran Islam / Mohd Norazri bin Mohamad Zaini ; Diselia oleh Prof Madya Dr Che Zarrina Sa'ari.- Details in Pendeta Discovery
103,al-Malamih al-da`wiyah fi qissah Musa ma`a fir`aun fi al-Qur'an al-karim / Tahir Ahmad Muhammad al-Riyami.- Details in Pendeta Discovery
104,al-Manar fi-al-mukhtar min Jawahir al-bahr al-zakhkhar lil-Imam Salih ibn Mahdi al-Maqbali (1108H) : dirasah wa tahqiq / Khaled Hasan Mohammed al-Baadani.- Details in Pendeta Discovery
105,al-Manhaj al-`ilmi `inda Jabir ibn Hayyan wa-al-Hasan ibn al-Haytham : dirasah muqaranah / Khalid Amhamad Faraj al-Wahishi.- Details in Pendeta Discovery
106,|al-Manhaj al-da`wi `inda `Abd Allah ibn `Alawi al-Haddad (t. 1132 H) fi kitabihi Al-Da`wah al-Tammah wa-al-Tadhkirah al-`Ammah wa-atharuhu fi Jawah al-Sharqiyah, Indunisiya / Imam Sadili.- Details in Pendeta Discovery|
107,al-Manhaj al-fiqhi `inda `Abd Al-Hamid ibn Badis (1889M-1940M) : dirasah tahliliyah / Yusuf bin Salah ; al-mushrif Prof. Madya Dr. Abdul Karim Ali.- Details in Pendeta Discovery
108,al-Manhaj al-fiqhi `inda al-Shaykh Muhammad Taqi al-`Uthmani min khilal kitabihi 
109,Al-Manhaj Al-Haraki dalam penulisan Sayyid Muhammad Nuh menurut perspektif hadith : aplikasi dalam isu-isu semasa gerakan dakwah di Malaysia / Muhammad Arif Yahya ; Diselia oleh Prof. Madya Dr. Ishak Suliaman.- Details in Pendeta Discovery
110,al-Mar'ah al-Libiyah wa-musharakatuha al-siyasiyah min al-manzur al-Islami : dirasah maydaniyah fi madinah Tarabulus / Samirah Zayid Abu Dib al-Ta'ib.- Details in Pendeta Discovery
111,al-Masa'il al-`aqadiyah `inda al-Hasan al-Jalal (d. 1084H) wa-Salih al-Maqbili (d. 1108H) : dirasah muqaranah / Shaaib Mohammed Ali Ateik- Details in Pendeta Discovery
112,Al-maskh menurut pandangan ahli tafsir : suatu kajian tentang kepercayaan masyarakat Melayu di Lembah Kelang / Norrihan Harun.- Details in Pendeta Discovery
113,al-Maslahah al-mursalah wa tatbiqatuha al-mu`asirah fi al-ahwal al-shakhsiyah / Khalfan ibn `Abd Allah ibn Khalfan al-Siyabi.- Details in Pendeta Discovery
114,al-Muhamah fi al-fiqh al-Islami dirasah fiqhiyah tahliliyah / Mohammed Khalil Saleh al-Jazmi.- Details in Pendeta Discovery
115,Al-Munabbihat 'ala al-isti'dad li yawm al-ma'ad oleh Ibn Hajar Al-Asqalani : takhrij dan analisis / Mohd Nor Adzhar Ibrahim.- Details in Pendeta Discovery
116,|al-Muqni` fi ma`rifah marsum masahif ahl al-amsar, li-Abi `Amr al-Dani d. 444H : dirasah wa tahqiq / Basheer Hasan Alhemyari.- Details in Pendeta Discovery|
117,al-Musharakah al-mutanaqisah al-muntahiyah bi-al-tamlik wa tatbiqatuha fi al-masarif al-Islamiyah fi al-Urdun / Ammar Atef Rabi Al Dalaeen.- Details in Pendeta Discovery
